Term	Gene
GO:0046872	Q6P8U6
GO:0047376	Q6P8U6
GO:0061365	Q6P8U6
GO:0000978	Q20201
GO:0000981	Q20201
GO:0005634	Q20201
GO:0006355	Q20201
GO:0009653	Q20201
GO:0030154	Q20201
GO:0030182	Q20201
GO:0043565	Q20201
GO:0000226	Q2HJB8
GO:0000278	Q2HJB8
GO:0005200	Q2HJB8
GO:0005525	Q2HJB8
GO:0005737	Q2HJB8
GO:0005874	Q2HJB8
GO:0016787	Q2HJB8
GO:0046872	Q2HJB8
GO:0000226	Q2HJ86
GO:0000278	Q2HJ86
GO:0005200	Q2HJ86
GO:0005525	Q2HJ86
GO:0005737	Q2HJ86
GO:0005874	Q2HJ86
GO:0016787	Q2HJ86
GO:0046872	Q2HJ86
GO:0000166	Q9BZC7
GO:0001573	Q9BZC7
GO:0005319	Q9BZC7
GO:0005524	Q9BZC7
GO:0005764	Q9BZC7
GO:0005765	Q9BZC7
GO:0005768	Q9BZC7
GO:0005815	Q9BZC7
GO:0005886	Q9BZC7
GO:0006629	Q9BZC7
GO:0006684	Q9BZC7
GO:0006687	Q9BZC7
GO:0006869	Q9BZC7
GO:0007626	Q9BZC7
GO:0009410	Q9BZC7
GO:0010008	Q9BZC7
GO:0016020	Q9BZC7
GO:0016887	Q9BZC7
GO:0019218	Q9BZC7
GO:0031410	Q9BZC7
GO:0032289	Q9BZC7
GO:0032383	Q9BZC7
GO:0032384	Q9BZC7
GO:0032805	Q9BZC7
GO:0042626	Q9BZC7
GO:0042632	Q9BZC7
GO:0042986	Q9BZC7
GO:0043190	Q9BZC7
GO:0043231	Q9BZC7
GO:0045939	Q9BZC7
GO:0046512	Q9BZC7
GO:0048545	Q9BZC7
GO:0055085	Q9BZC7
GO:0060049	Q9BZC7
GO:0061135	Q9BZC7
GO:0070723	Q9BZC7
GO:0071072	Q9BZC7
GO:0090155	Q9BZC7
GO:0090156	Q9BZC7
GO:0090370	Q9BZC7
GO:0099038	Q9BZC7
GO:0099040	Q9BZC7
GO:0140359	Q9BZC7
GO:0150104	Q9BZC7
GO:1901873	Q9BZC7
