OG	Model	wAIC	LRT	Coeff_inter	Coeff_slope	phyCorrelation	Category	binOne	binZero
OG0002378	fitOU1	0.341958052334036	0.405879222936848	-0.838947328235815	0.136337367930397	0.00416025463140272	ovulipar	17	25
OG0002379	fitOUMV	0.291363359372766	0.637174535062583	0.69665690632224	-0.0367674736711859	0.00275608192563891	ovulipar	17	24
OG0002382	fitOUM	0.256099655235891	1	0.101488862355385	0.115446788070167	0.00776475671665542	ovulipar	14	26
OG0002385	fitOU1	0.260710376654408	1	0.347882163642	0.0507428173591018	0.005382703686745	ovulipar	17	25
OG0002386	fitBMS	0.287104081066698	0.670499212255028	0.052783248016361	0.140652162437857	0.00125934142840357	ovulipar	16	23
OG0002389	fitOU1	0.347310655069998	0.390226306885038	0.755122679018924	-0.0678399021124794	0.00476432016128965	ovulipar	16	24
OG0002395	fitOU1	0.282113005924284	0.716376457160836	0.200833806682305	0.103928282953135	0.00266813714485014	ovulipar	16	25
OG0002400	fitBMS	0.331780247573996	0.438688119463895	0.0283173292331567	0.126647848517495	0.00240528782610952	ovulipar	15	26
OG0002403	fitOU1	0.526536259816831	0.136897575967337	-0.188704781113411	0.17578524774403	0.0061029755720727	ovulipar	17	21
OG0002405	fitOU1	0.339372464193475	0.413814070128318	0.677198405944334	-0.0995875205044774	0.00391989561256948	ovulipar	16	25
OG0002410	fitBMS	0.178117780046642	1	-0.228483720470415	0.114760188289388	0.00834840598453272	ovulipar	14	25
OG0002412	fitOUMV	0.471555836163891	0.183109954981354	1.29558358358047	-0.209354928439275	0.00860040767104685	ovulipar	15	24
OG0002414	fitOUM	0.262967737261002	1	1.64223383663498	-0.350260073553104	0.00569371095548669	ovulipar	17	25
OG0002417	fitBMS	0.275198697219664	0.80152073576174	0.160791078506542	0.0577665251041482	0.00322142298538885	ovulipar	17	26
OG0002420	fitOUM	0.343394343628731	0.401579451727752	1.26563138744178	-0.560551376069503	0.00865860450286243	ovulipar	16	17
OG0002423	fitBM1	0.353612006869837	0.373013566279365	0.494499608227653	-0.0532083587364739	0.00309880286474062	ovulipar	17	25
OG0002424	fitBMS	0.252452368587958	1	2.10354759606252	-0.399243748526234	0.00788116826161769	ovulipar	17	20
OG0002425	fitBM1	0.278241646363304	0.759650495772919	0.136531873641407	-0.00109760532191528	0.00387270806313526	ovulipar	15	25
OG0002426	fitBMS	0.324861358937248	0.463694972977226	0.7983576013913	-0.0798696759732872	0.00206644725225579	ovulipar	16	24
OG0002427	fitOUM	0.327756148416482	0.452934686253768	-0.129028893634837	0.13676888017901	0.00300514501143377	ovulipar	15	24
OG0002428	fitOU1	0.299705322601486	0.582258872433645	0.819294697060256	-0.144191366791091	0.00716141678651528	ovulipar	17	23
OG0002429	fitOUMA	0.366884602645027	0.34043585374373	-0.858366572619731	0.153483227643987	0.00760738915993584	ovulipar	16	26
OG0002432	fitOUMV	0.336251106554173	0.423743884523525	1.12997732292591	-0.00964930491366116	0.00229450740513971	ovulipar	16	23
OG0002433	fitBM1	0.286181805723297	0.678342204379469	1.36801879927734	-0.17368683386263	0.00868630176718375	ovulipar	15	24
OG0002436	fitOU1	0.284147200543652	0.696597498393782	1.60749534306442	-0.162553463851998	0.00422342945584012	ovulipar	17	25
OG0002438	fitOU1	0.306470594999969	0.544832511111448	-0.0107127606811245	0.128727928182789	0.00500119101110039	ovulipar	15	24
OG0002453	fitBMS	0.362903214454683	0.349732036677395	0.227952276670306	-0.0400179678725837	0.00214540101047866	ovulipar	16	25
OG0002454	fitBMS	0.34787594164	0.388630637720346	1.57746416346076	-0.268920736838065	0.00618154527113686	ovulipar	14	25
OG0002456	fitBM1	0.263579996109887	1	-0.729532599464739	0.159298971536555	0.00948033875320832	ovulipar	17	25
OG0002458	fitOUM	0.418244117912598	0.24702890237361	3.81688216170922	-0.763159212413799	0.00822337397773302	ovulipar	15	22
OG0002459	fitOU1	0.384652975902711	0.303144404687055	-0.114867022861149	0.101343226163118	0.00346755504576296	ovulipar	15	24
OG0002462	fitOU1	0.270026879649473	0.916366013198622	-0.828563234080247	0.177156644482808	0.00286411888274513	ovulipar	17	26
OG0002464	fitOUMV	0.314534917338529	0.506161089336832	-1.71619161346748	0.361742317977955	0.00425070746791428	ovulipar	17	26
OG0002466	fitBM1	0.297934352682452	0.592994187338791	-0.303674594495411	0.0664263934573808	0.00577026215929608	ovulipar	14	25
OG0002467	fitOU1	0.343632675174318	0.400873209935464	0.244396837370866	9.89690123693077e-05	0.00256630719381979	ovulipar	17	25
OG0002475	fitOU1	0.332005033329813	0.437915293957672	0.914964786621677	-0.0660092778043276	0.00539146171170418	ovulipar	15	24
OG0002476	fitOU1	0.310556064639219	0.524539716221369	0.492233930973531	-0.0123478751918707	0.00072133061122077	ovulipar	14	26
OG0002478	fitOUMV	0.277913398118983	0.763759395647318	-0.70687683867818	0.13729405991333	0.00867583866096271	ovulipar	15	25
OG0002479	fitOU1	0.305416551217055	0.550328752790884	0.197658402308969	0.034037736616908	0.00337739916335505	ovulipar	14	25
OG0002480	fitBMS	0.336365850490511	0.423371778763134	-0.117563364561124	0.097629146361082	0.0044988543520307	ovulipar	16	25
OG0002481	fitBMS	0.304567888911007	0.55483789979459	0.589756255468623	0.0950401967521218	0.00116764684202037	ovulipar	17	26
OG0002485	fitBMS	0.228208514021857	1	0.0825632814378253	0.124495183232182	0.00800038071101606	ovulipar	15	24
OG0002498	fitOU1	0.306097457532473	0.546765282212115	-0.87423435118807	0.141148021179363	0.00382909701082212	ovulipar	15	25
OG0002500	fitOU1	0.313300598085086	0.511727566113505	0.925638711638889	-0.0776998549869981	0.00305316046025487	ovulipar	16	25
OG0002501	fitBMS	0.255370955963093	1	-1.03205492168904	0.122604790859714	0.00559997575244559	ovulipar	16	25
OG0002505	fitBMS	0.291398244737337	0.636918924019868	-0.14030550642109	0.140507239700064	0.00335886043066048	ovulipar	17	24
OG0002506	fitBMS	0.216183429573199	1	1.55484074350615	-0.278921539721384	0.00944932013880792	ovulipar	16	26
OG0002507	fitBMS	0.14910569547326	1	-0.084121295311855	0.378838257255438	0.00714002054956884	ovulipar	17	24
OG0002511	fitOU1	0.316112251269815	0.499213903120732	1.41690435307394	-0.0904238617912679	0.00519039082829223	ovulipar	16	24
OG0002514	fitOU1	0.102100990690874	1	-0.217464773111238	0.18410123548052	0.00737515880488999	ovulipar	16	24
OG0002516	fitOUMV	0.239425442218779	1	0.667899754565019	0.185703913904551	0.00407131891765624	ovulipar	16	19
OG0002518	fitOU1	0.245515237098463	1	1.41546356603617	0.0923356963819607	0.000908237988884862	ovulipar	17	7
OG0002526	fitOU1	0.305702792470589	0.548824924475001	-0.0412802281088701	0.149680497358735	0.00382599417875642	ovulipar	16	24
OG0002527	fitOUMVA	0.187945822233035	1	-0.99647095117312	0.346668264295709	0.0046975866995185	ovulipar	16	25
OG0002528	fitOU1	0.282442163020787	0.713059223965604	0.508365029088671	0.0892774658171738	0.00100349973420556	ovulipar	17	24
OG0002531	fitOU1	0.273662030741185	0.827013437009205	0.512994788110762	0.0923615749997675	0.00198915203753135	ovulipar	17	25
OG0002532	fitOU1	0.305733292683919	0.548665184175585	-0.269283445672595	0.229532932766559	0.00122723840721063	ovulipar	17	25
OG0002535	fitOU1	0.314150731347031	0.507881175096402	0.286547025229095	0.0812468454964855	0.00141397645995912	ovulipar	16	25
OG0002537	fitOU1	0.362266202494531	0.35125538285585	0.608243787898852	-0.0548791600192076	0.00189247397965051	ovulipar	15	25
OG0002540	fitBMS	0.326168879187323	0.458779153570352	0.558926031593116	0.00697664259022823	0.00134913131224713	ovulipar	16	25
OG0002542	fitBMS	0.313136813246545	0.512475056000024	0.351008057537349	0.0858089344564112	0.00556681431409574	ovulipar	14	24
OG0002549	fitOUMV	0.350002209921913	0.382721770022199	1.03504482613077	-0.159612954795307	0.00352996087671534	ovulipar	16	25
OG0002552	fitBMS	0.308075634324638	0.536674907784794	2.09225353498158	-0.537547138318169	0.00579852431035015	ovulipar	17	26
OG0002553	fitOU1	0.323549099348038	0.468724195483818	0.815590883460166	-0.0839739069489422	0.00350614922996605	ovulipar	17	25
OG0002554	fitBMS	0.277165783028962	0.773442645116937	-1.09353001042838	0.25350511658828	0.00472285462107391	ovulipar	16	25
OG0002555	fitOU1	0.281469048364499	0.723009480217583	0.313046237142612	0.0277314710308187	0.00278758632329754	ovulipar	16	25
OG0002558	fitBMS	0.273657317950249	0.82709798278433	-0.427824208331222	0.0812020981252705	0.00644847325432689	ovulipar	16	24
OG0002559	fitOUM	0.25278279383091	1	-0.260162093309221	0.123824245730252	0.00474505059217324	ovulipar	14	25
OG0002561	fitBM1	0.310086277561109	0.526796039364751	-0.0996390968556958	0.115038555596476	0.00373099793091596	ovulipar	12	24
OG0002565	fitBMS	0.266429347308424	1	1.46803776609574	-0.0284677222787535	0.00445294010355387	ovulipar	17	20
OG0002568	fitOU1	0.311462667635456	0.520238788712832	-0.398927988183273	0.191252721258106	0.000919434452678417	ovulipar	16	24
OG0002572	fitBMS	0.305575401104089	0.549493154346713	0.297592112731891	0.0353005206519964	0.00163095678794497	ovulipar	16	24
OG0002575	fitOU1	0.310664732990512	0.524020510127373	0.921735464053148	-0.0893802127275042	0.00813277157227067	ovulipar	16	25
OG0002577	fitOU1	0.299007710350649	0.586435815608173	0.0798886208656203	0.0393566973237581	0.0014427719539676	ovulipar	14	23
OG0002578	fitOUMA	0.315824860128022	0.500466161204426	0.492404373468288	-0.100853936318969	0.0015360554922471	ovulipar	14	24
OG0002580	fitBMS	0.299585448880449	0.582971943127072	0.354466667158567	0.0901648235067549	0.00158773709129603	ovulipar	15	24
OG0002582	fitBMS	0.338628223290332	0.416146000356788	-1.45160607373186	0.168226121238582	0.00607258086450164	ovulipar	16	25
OG0002583	fitBMS	0.246517351495234	1	0.0793264798317035	0.147462367813665	0.00470853971314907	ovulipar	14	24
OG0002584	fitBMS	0.331140481783146	0.440900614367727	0.352709455083868	-0.0157048242192242	0.00322159150095283	ovulipar	16	25
OG0002585	fitOU1	0.268197228502859	1	-0.20975241184208	0.214948306915096	0.00356000049171187	ovulipar	16	20
OG0002586	fitBMS	0.328491608434578	0.450271012785861	0.0962501229030562	-0.022354905677684	0.00205518715649151	ovulipar	13	25
OG0002609	fitOUM	0.210460421796181	1	-3.1329884209852	0.7410354411862	0.00698400757857082	ovulipar	15	24
OG0002610	fitBMS	0.241328955760988	1	-0.310414506617614	0.1060506224864	0.00792046256013914	ovulipar	13	25
OG0002611	fitOU1	0.308629591323594	0.53391639501704	-0.199067736928775	0.183916340746808	0.00378924352196855	ovulipar	17	24
OG0002614	fitBMS	0.309273435560135	0.530745754286443	0.0563457223587238	0.153155035660849	0.00362114422191881	ovulipar	16	24
OG0002615	fitOUMV	0.228881972021065	1	-0.0505359851733501	0.066989370234086	0.00335112006509406	ovulipar	13	26
OG0002620	fitBMS	0.292701465151877	0.627547862915953	0.0174155929604761	0.155910038805397	0.000855995951570224	ovulipar	15	26
OG0002623	fitBM1	0.376882268849184	0.318670624244187	3.02884291981245	-0.779931032852557	0.00885567691022598	ovulipar	14	25
OG0002624	fitBMS	0.252844727244381	1	0.0133091344981883	0.0399397500261326	0.00259619358489899	ovulipar	13	22
OG0002625	fitBMS	0.272642145946482	0.846484874434604	0.0790049074549619	0.0686550455192136	0.00673660878088634	ovulipar	14	24
OG0002630	fitOUMA	0.131265765755072	1	-1.07500486331102	0.465968696144596	0.00983330003373819	ovulipar	16	26
OG0002631	fitBMS	0.289561524139466	0.650738059460057	-0.882267624995834	0.167763268370995	0.0087836327579269	ovulipar	16	25
OG0002632	fitOU1	0.316527842884685	0.497413469922989	0.380648684522523	0.00770388032224286	0.00302507614856885	ovulipar	16	25
OG0002634	fitBMS	0.277231415106078	0.772573443734215	0.831450460178532	-0.063682046683983	0.00836293772983796	ovulipar	15	16
OG0002636	fitOU1	0.257107128284579	1	-0.529357402209066	0.192371018066905	0.00344944420353723	ovulipar	16	24
OG0002637	fitBMS	0.214257315703118	1	0.077731197324466	0.103514071612725	0.00559416618008447	ovulipar	15	23
OG0002639	fitBM1	0.234952317234338	1	-0.211162429879938	0.055410828556289	0.0122611671300345	ovulipar	15	22
OG0002643	fitOU1	0.321242519159322	0.477806817688059	0.181123866889988	0.0498788122156971	0.00207279684529244	ovulipar	16	25
OG0002645	fitBM1	0.268408600952857	1	-0.0408512951439688	0.0674895135937469	0.00243716076690989	ovulipar	14	24
OG0002646	fitOU1	0.302467255676509	0.566338725927127	0.161151164095736	0.186013547879659	0.00154914368745374	ovulipar	17	24
OG0002651	fitOUMV	0.311257807127475	0.521204583111759	0.66811220491668	0.0303273666993258	0.00221163674040028	ovulipar	16	22
OG0002652	fitOU1	0.187480878434811	1	0.426494059050336	0.118005464336181	0.00550984668341045	ovulipar	17	26
OG0002653	fitOU1	0.302093553310916	0.568437809357813	0.3408989525929	-0.175493184514957	0.00600421337487448	ovulipar	14	23
OG0002654	fitBMS	0.547976199049442	0.122505359924118	3.95767860173934	-0.916776100219145	0.00837290271640724	ovulipar	17	26
OG0002655	fitOU1	0.305918811452486	0.547695613591187	0.801947356196249	-0.140450937407528	0.00284335066435315	ovulipar	14	25
OG0002658	fitOU1	0.262942195646787	1	1.06836708391339	-0.113363602347099	0.00292016338364672	ovulipar	17	26
OG0002659	fitOU1	0.281753612726212	0.720054373561109	-1.18359901273229	0.404701475677822	0.00391593491516517	ovulipar	15	25
OG0002662	fitBMS	0.353332742923801	0.373750593217641	3.21789778601059	-0.745409894992778	0.00560034412453171	ovulipar	17	21
OG0002663	fitBMS	0.328833665416265	0.449041513203501	0.488841094536267	-0.0094887940806566	0.00260332131180823	ovulipar	17	23
OG0002664	fitOU1	0.350828632892473	0.380463940936471	-0.345729247986505	0.195538713313517	0.00297277956031216	ovulipar	14	25
OG0002665	fitBMS	0.285106508275083	0.687817237404063	1.42279713581404	-0.033615405829837	0.00252121780150012	ovulipar	16	24
OG0002666	fitOUM	0.237955150227395	1	0.525243856965602	0.125839356655744	0.00477544650229574	ovulipar	13	24
OG0002669	fitOU1	0.311627205822294	0.519465622411913	0.651699397486992	-0.0244528260449468	0.00378486309706634	ovulipar	17	26
OG0002671	fitBMS	0.36749571568488	0.339042289562947	-0.114947605739067	-0.0391159739304666	0.00380941500233975	ovulipar	14	24
OG0002672	fitOU1	0.227876944103938	1	-0.0531264491523639	0.116832283427025	0.00313001274714017	ovulipar	16	23
OG0002673	fitBM1	0.290561649377841	0.643120380601208	0.273511639441143	-0.0444687973135199	0.00235874883171984	ovulipar	13	25
OG0002674	fitOU1	0.314772604090253	0.505102480145864	0.354462223329346	0.0979536504668501	0.00244833719811449	ovulipar	17	24
OG0002680	fitOU1	0.329823272722388	0.445517314252374	1.15613092161731	-0.202923550168581	0.00572617730587832	ovulipar	16	26
OG0002681	fitBM1	0.311128559716393	0.521815716744639	1.10133478058735	-0.110496411433671	0.00591783077524622	ovulipar	14	22
OG0002682	fitBMS	0.336892570476683	0.421670725781269	0.499003683668896	0.0956710738352278	0.00275883297447803	ovulipar	14	24
OG0002684	fitOUM	0.361287021513267	0.353616968788356	3.74914341377857	-0.654785191521962	0.0100421857556461	ovulipar	16	24
OG0002685	fitBMS	0.406166448150376	0.265407856509216	0.991952581238985	-0.280872350486438	0.0104800182138488	ovulipar	14	26
OG0002686	fitBMS	0.352551483125811	0.375824770693205	0.754323187003996	0.00340679244040456	0.00322926117144725	ovulipar	13	25
OG0002688	fitBMS	0.305400986363007	0.550410769693619	0.552179792136014	0.0244762858519185	0.00376027901849821	ovulipar	14	24
OG0002693	fitBMS	0.283080395249023	0.706760286992433	0.615234758221567	-0.0521249846280497	0.00403151944743736	ovulipar	15	12
OG0002709	fitBMS	0.282299736742244	0.714488695266444	-0.170679283903109	0.11460700038757	0.00486231844551595	ovulipar	17	26
