OG	Model	aic.weight	Tree_size	Mean_trait	Perm_test
OG0000134	fitOU1	0.525060081893544	24	-2.39935284374233	0.0119521912350857
OG0000135	fitOUM	0.259042226242726	38	0.250431858837038	0.0637450199203433
OG0000136	fitOUMA	0.511273110276851	36	-0.359486047148638	0.00398406374504612
OG0000137	fitOU1	0.608067147433439	40	0.979713700936161	0.00398406374504612
OG0000138	fitWhite	0.286967011637605	32	-1.18203040869675	0.525896414342642
OG0000139	fitOUMV	0.732751441452155	32	-1.91536467254292	0.0159362549801055
OG0000140	fitWhite	0.768638330277652	17	-3.47002502683543	0.549800796812761
OG0000141	fitBMS	0.320603161791058	39	-2.6034926595116	0.00398406374504612
OG0000142	fitOUM	0.549180551817007	30	-4.80251871118902	0.0119521912350857
OG0000143	fitOUMV	0.500473071135499	32	-1.40809042043635	0.027888446215165
OG0000144	fitOUMA	0.436295246343479	37	-0.763736319552633	0.00398406374504612
OG0000145	fitBMS	0.559515813063052	40	-0.897495407955617	0.00398406374504612
OG0000146	fitOU1	0.639242725307624	34	-0.48534526357887	0.00398406374504612
OG0000147	fitWhite	0.565787737707719	31	-1.13544493806081	0.549800796812761
OG0000148	fitOUMVA	1	30	-0.335150375737711	0.0119521912350857
OG0000149	fitOUMV	0.95058533795759	36	-3.44143451873951	0.00398406374504612
OG0000150	fitOU1	0.31665568941547	31	-0.849019825194898	0.0398406374502245
OG0000151	fitWhite	0.576530926534758	35	-0.421733454465786	0.56175298804782
OG0000152	fitOU1	0.43306802391089	40	-0.655696489244907	0.0159362549801055
OG0000153	fitOUMV	0.499601484102344	39	0.87002130150232	0.00796812749006592
OG0000154	fitOU1	0.511978319317892	23	-1.09493558536345	0.0358565737052046
NA	NA	NA	NA	NA	NA
OG0000156	fitOUMV	0.988330504946846	29	-1.99268204189832	0.119521912350621
OG0000157	fitOU1	0.636431466832252	25	-2.44407695862885	0.00398406374504612
OG0000158	fitWhite	0.610789686199281	26	-0.522614709372154	0.5577689243028
OG0000159	fitWhite	0.398883746475499	35	-1.38405030717895	0.478087649402404
OG0000160	fitOU1	0.551000926373589	36	-0.0206548585154694	0.0318725099601848
OG0000161	fitWhite	0.681448078893465	34	0.290218653515867	0.501992031872523
OG0000162	fitOU1	0.442747881552295	21	-2.02175938152949	0.00398406374504612
OG0000163	fitOUMV	0.650797213622486	32	-3.22335117387906	0.0358565737052046
OG0000164	fitOU1	0.67895261105801	27	-0.685287454208739	0.00398406374504612
NA	NA	NA	NA	NA	NA
OG0000166	fitOUMV	0.414580723660066	35	-3.33383529431548	0.027888446215165
OG0000167	fitWhite	0.613714950225122	16	-3.08674758724387	0.537848605577701
OG0000168	fitBMS	0.981490481159482	35	-0.270449820534671	0.00398406374504612
OG0000169	fitOUMA	1	30	-0.660383516274903	0.00796812749006592
OG0000170	fitOUMVA	1	34	-1.83700169473371	0.0318725099601848
NA	NA	NA	NA	NA	NA
OG0000172	fitOUMV	0.784265125706358	33	-2.52709764947139	0.0119521912350857
OG0000173	fitOUMV	0.383708894512818	36	0.418620397077922	0.00398406374504612
OG0000174	fitWhite	0.424562952320771	39	0.416410036962878	0
OG0000173	fitOUMV	0.383708894512818	36	0.418620397077922	0.00398406374504612
OG0000174	fitWhite	0.424562952320771	39	0.416410036962878	0.541832669322721
OG0000175	fitWhite	0.588852733989314	31	-0.915482296677198	0.553784860557781
