OG	Model	aic.weight	Tree_size	Mean_trait	Perm_test
OG0000173	fitOU1	0.528065925441082	40	2.14743271731047	0.00398406374504612
OG0000174	fitOU1	0.780087463350247	40	3.24996011158374	0.00398406374504612
OG0000175	fitBMS	0.547757143840895	21	1.95151892017052	0.00398406374504612
OG0000176	fitOU1	0.506196728667269	38	2.71472674225082	0.00398406374504612
OG0000177	fitBM1	0.432705871156593	23	0.919374139581858	0.00398406374504612
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
OG0000182	fitWhite	0.664275368690034	23	0.801742585574625	0.442231075697226
OG0000183	fitOU1	0.803270811250846	36	2.51096356341355	0.00398406374504612
OG0000184	fitBM1	0.507323077066287	23	3.46289966392713	0.00398406374504612
OG0000185	fitOU1	0.471164376776112	27	1.74379860608956	0.0199203187251253
NA	NA	NA	NA	NA	NA
OG0000187	fitOU1	0.704761206143495	38	2.25604785327502	0.00398406374504612
NA	NA	NA	NA	NA	NA
OG0000189	fitWhite	0.671641866358529	35	1.18570607910628	0.406374501992047
OG0000190	fitWhite	0.817559770937244	16	0.884616790231414	0.478087649402404
NA	NA	NA	NA	NA	NA
OG0000192	fitOU1	0.528484107006438	40	3.49875488220784	0.00796812749006592
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
OG0000195	fitWhite	0.819250486851463	15	1.23639319456625	0.414342629482087
OG0000196	fitBMS	0.351131506385804	20	1.10162425858668	0.0199203187251253
OG0000197	fitOU1	0.344226910780654	27	0.466285320061329	0.0119521912350857
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
OG0000201	fitOU1	0.362507961874224	33	2.77013794868994	0.00398406374504612
OG0000202	fitOU1	0.513983533223359	42	2.94370012209318	0.00398406374504612
OG0000203	fitWhite	0.738363507379469	17	0.845536876039746	0.553784860557781
NA	NA	NA	NA	NA	NA
OG0000205	fitOU1	0.820199639987081	41	3.93298535425438	0.00398406374504612
OG0000206	fitOU1	0.870793164792237	33	1.62200798897156	0.00398406374504612
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
OG0000209	fitBM1	0.640714814300939	22	4.22575768234135	0.00398406374504612
OG0000210	fitWhite	0.613914945434839	21	0.835137992007538	0.466135458167345
OG0000211	fitOU1	0.521602882031053	24	0.732498613310788	0.00398406374504612
OG0000212	fitWhite	0.585652890511341	41	3.9831886481735	0.486055776892444
OG0000213	fitOU1	0.420298616892037	20	2.80134281796591	0.00796812749006592
NA	NA	NA	NA	NA	NA
OG0000215	fitOUMV	0.790714481054437	38	2.98973820674428	0.00398406374504612
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
OG0000218	fitOU1	0.348738040100637	24	-0.770776215460402	0.0677290836653631
OG0000219	fitOUMVA	0.3891455950723	34	2.57288963069984	0.00398406374504612
OG0000220	fitOUM	0.741497032795618	26	0.0559733772903447	0.00796812749006592
OG0000221	fitOU1	0.314567142822763	27	2.13144774041409	0.00398406374504612
OG0000222	fitBM1	0.626203575987424	16	1.23956611376722	0.0159362549801055
NA	NA	NA	NA	NA	NA
OG0000224	fitWhite	0.81291976177389	15	1.78832387927483	0.541832669322721
NA	NA	NA	NA	NA	NA
OG0000226	fitWhite	0.549889270208639	21	1.20008081476958	0.537848605577701
NA	NA	NA	NA	NA	NA
OG0000228	fitWhite	0.543954724991529	37	2.97047930139773	0.203187250996037
OG0000229	fitBM1	0.286174054241498	38	2.24829234461976	0.00398406374504612
OG0000230	fitOU1	0.703703748549864	36	2.42531463447812	0.00398406374504612
NA	NA	NA	NA	NA	NA
OG0000232	fitOU1	0.718543622323366	32	1.26218162905898	0.00398406374504612
OG0000233	fitOUM	0.465641913937839	28	2.58226265758187	0.00398406374504612
OG0000234	fitOU1	0.423881119568171	33	1.01153169944662	0.00796812749006592
NA	NA	NA	NA	NA	NA
OG0000236	fitWhite	0.753078059415256	35	2.47980735095105	0.501992031872523
OG0000237	fitWhite	0.721768897770646	17	-0.0145773307758645	0.56972111553786
NA	NA	NA	NA	NA	NA
OG0000239	fitBMS	0.892721573512429	26	1.19269482278713	0.00398406374504612
OG0000240	fitBMS	0.91188147259452	27	4.0187176875721	0.00398406374504612
OG0000241	fitWhite	0.604977816743853	17	1.48726701658293	0.282868525896433
OG0000242	fitWhite	0.574389742494322	40	2.99970825522813	0.498007968127503
OG0000243	fitWhite	0.594477765468354	18	0.316505240108896	0.370517928286869
