OG	Model	mean_expr	species_nr	sigma2	alpha	ovuliparity.sigma2	oviparity.sigma2	hemotrophic_viviparous.sigma2	ovuliparity.alpha	oviparity.alpha	hemotrophic_viviparous.alpha	ovuliparity.theta	oviparity.theta	hemotrophic_viviparous.theta	ovuliparity.theta.se	oviparity.theta.se	hemotrophic_viviparous.theta.se	theta	theta.anc	theta.se	theta.anc.se
OG0002794	OU1	5.00234262078704	41	0.0212344306038528	0.00390476316897859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.0003709892379	NA	0.365243965952496	NA
OG0002795	OU1	3.06070371334474	37	0.00923195791522585	0.00231893511904724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.79007472124322	NA	0.355373734189221	NA
OG0002796	BMS	4.91647032988835	37	NA	NA	0.00280357323389521	0.0171661265684339	0.0234578695308325	NA	NA	NA	-5732161.83772136	5644638.15428214	87523.6829855085	15648970.0521233	15410027.8275706	238942.223312388	NA	5.19355777518615	NA	1.5723594540032
OG0002797	OUM	5.51037255086429	38	0.0200113544207352	0.00231236279816879	NA	NA	NA	NA	NA	NA	6.37997336686147	5.45703611184227	-19.9093968980396	0.615055108458454	1.25180165614183	6.95127882221554	NA	NA	NA	NA
OG0002798	OU1	3.24205133958383	31	0.0456250301094529	0.0053469111148095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.00826034543531	NA	0.483027641170533	NA
OG0002800	BM1	3.71208574174061	40	0.00654430940531053	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.0058362467026e-07	3.17071319004939	1.0551726247222e-07	1.11305123912052
OG0002802	BMS	3.5345099887256	34	NA	NA	0.00720690933612005	0.00672357169601887	0.0240929614323313	NA	NA	NA	-10162732.7518001	10181764.8668295	-19032.1144056471	12233749.2615648	12256659.8436764	22910.5813605936	NA	3.53241428847234	NA	1.45673001187539
OG0002807	OUM	2.53065957419701	23	1.88577577933182	0.373729825848803	NA	NA	NA	NA	NA	NA	3.61980340112618	3.22297133526513	-0.101812485875485	0.403680864674685	1.59709287441662	0.725662228324404	NA	NA	NA	NA
OG0002820	OU1	3.34370710559236	40	0.0128792120347589	0.0035455097013451	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.943529746722	NA	0.316659963643982	NA
OG0002821	OU1	5.24918305711471	41	0.0141701071503668	0.00349920404984653	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.89749586399278	NA	0.321799864648681	NA
OG0002825	BMS	3.61446825200102	42	NA	NA	0.0058916875665467	0.00228851966517259	0.010396720316777	NA	NA	NA	-52847.8222764072	53090.4780781624	-242.655794503527	7635336.44766271	7670394.82104413	35058.3723642985	NA	2.99028891609922	NA	1.0909434511496
OG0002826	OU1	3.738791798033	39	0.0134844450198114	0.00305449220605636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.43633827761872	NA	0.351959283918017	NA
OG0002827	BMS	3.14541510929768	33	NA	NA	0.00948124375600339	0.00106292021306348	0.039368303640206	NA	NA	NA	-7202668.64563321	7241688.24253024	-39019.5958593766	8748277.51444831	8795670.26274045	47392.7470322267	NA	3.83937022692888	NA	0.904662168925682
OG0002828	OU1	3.04441863844889	35	0.0343047353523792	0.00853182411470116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.13462364773263	NA	0.301417261013239	NA
OG0002829	OU1	5.28733592641162	42	0.00962731451607302	0.00239579338959069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.95251922777275	NA	0.356100104124907	NA
OG0002830	OU1	4.10089318332093	38	0.0122645342646521	0.00180089345873171	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.86862749697328	NA	0.503334110374127	NA
OG0002833	OU1	5.86658194997022	39	0.00976552616536501	0.00177325370193073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.09277686881819	NA	0.44613077479006	NA
OG0002835	OU1	3.76768872003331	39	0.0186103396915633	0.00341474437924953	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.56997516872167	NA	0.395991697096473	NA
OG0002836	OU1	4.29733467701004	41	0.0156563790191691	0.00338270145310728	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.96263169771093	NA	0.340368125040372	NA
OG0002838	OU1	6.06141354037885	35	0.174807800191366	0.0149842430263806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.85601216132132	NA	0.471439960601928	NA
OG0002842	BMS	3.55751811750532	39	NA	NA	0.00480839491134086	0.00430083774838433	0.00834506748820739	NA	NA	NA	-13415731.8750222	13504437.8946575	-88706.0175435229	8542478.76820873	8598962.40222914	56483.6326886304	NA	3.35158445423044	NA	1.07414773711866
OG0002844	BMS	5.40185712982098	42	NA	NA	0.00403648648455815	0.00573726720948017	0.0554979895443192	NA	NA	NA	-9016664.67401239	9020189.35519871	-3524.68035384677	9023060.10207087	9026587.28327722	3527.18037358151	NA	5.56527958591298	NA	1.07938489394863
OG0002847	BMS	6.16735205505012	35	NA	NA	0.00575314213069886	0.00240119874151505	0.191657454579481	NA	NA	NA	-12553062.9299909	12567472.1957119	-14409.2615822164	9354498.2669624	9365236.00100893	10737.7309626185	NA	6.65251366560475	NA	1.1300242515844
OG0002849	BM1	3.46418640943626	42	0.00555833589325987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.59631589544516e-07	3.79358198826766	9.51050406338113e-08	1.00321768062377
OG0002851	OU1	3.35533503287725	41	0.018097344389233	0.00479284992858204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.35874652567292	NA	0.288349070931218	NA
OG0002855	OU1	3.46423461361793	41	0.0209068446063011	0.00394365981638788	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.36849156177294	NA	0.353262241683042	NA
OG0002857	BMS	3.91494286637637	35	NA	NA	0.0050485069966541	0.00674172021743953	0.179781258127944	NA	NA	NA	10967180.7536692	-10974817.3697938	7636.62560626323	10283254.3576912	10290414.7453796	7160.39657843575	NA	3.94451726925776	NA	0.847561973397825
OG0002859	BM1	5.99058634336087	38	0.00872296054516764	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.27199685150416e-07	5.56117784958578	1.19554477584672e-07	1.26112312144683
OG0002861	BM1	3.06175436313116	40	0.0120346978478032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.47817834109168e-07	2.61411205025687	1.42501827782608e-07	1.50318376612897
OG0002864	OU1	4.13941488637523	42	0.0123129681257622	0.00409145401693628	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.79544336447337	NA	0.260673590531064	NA
OG0002870	BMS	1.91057402443443	31	NA	NA	0.00699168845110246	0.00550755182692314	0.0883670816530361	NA	NA	NA	33146897.4501566	-33167325.1873194	20427.7367223348	13215279.6084112	13223423.9078523	8144.29926537511	NA	0.109350204873326	NA	1.5278892159805
OG0002871	OU1	2.93542436235774	41	0.0450674772405883	0.00947870089001049	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.99793177882886	NA	0.292158646643864	NA
OG0002872	OU1	4.16995344465135	40	0.0159516733870718	0.00383777385224201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.05477278374333	NA	0.321042001840871	NA
OG0002882	OU1	4.2693472450272	41	0.0331673380338298	0.00719098317116699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.17013493773694	NA	0.295926544657943	NA
OG0002883	BMS	2.7031572491147	40	NA	NA	0.00817849047519056	0.00168891679047601	0.0442763072121051	NA	NA	NA	-4506288.08084458	4520081.00799302	-13792.9261215893	8219001.37647849	8244158.2428799	25156.8645291228	NA	2.9964182434577	NA	1.22169011906966
OG0002884	OU1	3.27044326073601	41	0.0147026440775121	0.00159460953444843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.24954397236366	NA	0.624207055249628	NA
OG0002886	BMS	5.78532731282887	36	NA	NA	0.0046077515369586	0.00131603593721744	0.0208449326482877	NA	NA	NA	-7465972.5505567	7489323.89157597	-23351.3393853444	7098898.81785528	7121102.06144185	22203.2420338313	NA	5.84101919455436	NA	0.966934594341512
OG0002890	BM1	4.13615952636325	39	0.00438902438155854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.31122519811925e-07	3.49285341884933	8.47932074643415e-08	0.894443074289381
OG0002894	BMS	6.05144760349984	35	NA	NA	0.00758420864740497	0.00865731024940471	0.0728943323246982	NA	NA	NA	-10306377.0311714	10313696.1443975	-7319.11202544304	13164610.0541434	13173958.952526	9348.89684960533	NA	6.57462145513908	NA	1.52395568835882
OG0002897	OU1	2.52644131762771	35	0.0207328775096961	0.00410631771348968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.47321603837322	NA	0.375305881958284	NA
OG0002898	OUM	2.35085465601724	40	0.148433398623644	0.0221118030009141	NA	NA	NA	NA	NA	NA	3.50891394908481	1.34340747932792	5.12503569514044	0.484924436827332	0.502120763854358	0.910905097872175	NA	NA	NA	NA
OG0002899	BMS	4.25688031055585	37	NA	NA	0.0138285540116394	0.0106546949406088	0.0464176685388859	NA	NA	NA	5275181.5761006	-5287801.3843851	12619.8077236583	14945139.4459777	14980892.6787097	35753.2311429791	NA	3.02473964223859	NA	1.38524634974766
OG0002900	OU1	2.62639234477413	40	0.0150925276822534	0.00220509964374584	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.51898160965601	NA	0.488808289678207	NA
OG0002901	BM1	3.18713482157987	33	0.0110988207475217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.8599231115127e-07	3.01679638824238	1.39279734780489e-07	1.46919544497436
OG0002902	OUM	3.70366146075132	33	0.0801528379994172	0.0169935135951515	NA	NA	NA	NA	NA	NA	4.03536444163939	3.36932822038003	3.6747826247776	0.471682177338026	0.439429753721851	0.990393056565805	NA	NA	NA	NA
OG0002904	OU1	3.77217682689105	38	0.0219491586296609	0.00671861939507157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.93442053618981	NA	0.263934466025829	NA
OG0002906	BMS	3.65746178664669	43	NA	NA	0.00596553297731647	0.00278526117014119	0.0197013677855946	NA	NA	NA	-272602.123278348	273477.44932784	-875.326009533211	8106453.18184447	8132483.02178709	26029.8387620666	NA	3.12888910891677	NA	1.11435109042513
OG0002907	OU1	3.81373220635335	40	0.0161968621277282	0.0049525852754281	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.76719099406781	NA	0.271972403451507	NA
OG0002909	OUM	3.63230489166347	42	0.0499144489815479	0.0149621196132418	NA	NA	NA	NA	NA	NA	3.96209962713348	3.80237243906685	2.18599920919955	0.336570166596763	0.349984404660855	0.803887934679501	NA	NA	NA	NA
OG0002911	OU1	3.50956692067285	41	0.0171636452781493	0.0048748293266886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.17883119579354	NA	0.277210450244257	NA
OG0002913	BMS	3.75775252810453	41	NA	NA	0.00420704873182568	0.00199901839437581	0.139675548673765	NA	NA	NA	3093893.53284268	-3096336.41801989	2442.88460414493	6750952.17642351	6756282.61227457	5330.43459965207	NA	3.56089002748526	NA	0.649359911276068
OG0002916	OUMV	4.520191320933	39	NA	0.0156881469157429	0.0156881469157429	0.0052332202918343	0.0011991020457359	NA	NA	NA	5.13768346499597	3.94662971780839	1.86298706494166	0.410497655905317	0.290509186352368	1.89376512652833	NA	NA	NA	NA
OG0002917	BM1	4.13818925836636	41	0.0062795677310114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.66447493324115e-07	2.8106274335279	1.04278980811545e-07	1.09998919694371
OG0002918	BMS	4.57128410478716	40	NA	NA	0.00584591379749947	0.00342534468066791	0.0257698545549514	NA	NA	NA	1755939.86572644	-1761729.25997934	5789.39399646863	8530450.5264294	8558575.71580392	28125.1881279289	NA	3.45041923484225	NA	1.1388877287524
OG0002921	OU1	3.37803905468076	42	0.0161997787876014	0.00224335418946247	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.26512223603225	NA	0.490503413458683	NA
OG0002923	BM1	2.94305407884825	41	0.0128535055781375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.67702635312341e-07	2.82386732716484	1.44580528106552e-07	1.52511098364039
OG0002930	OUM	2.87932085006354	39	0.0375572000708163	0.0110142421205995	NA	NA	NA	NA	NA	NA	1.9648325007094	3.54792008581418	4.72514040475038	0.36258684242412	0.397905821673274	1.05730409669739	NA	NA	NA	NA
OG0002933	BMS	4.44260593707685	33	NA	NA	0.00540842390513555	0.00606665124506226	0.0480060080073158	NA	NA	NA	9774792.19876778	-9784902.85801941	10110.6572259399	11288512.2380191	11300188.629535	11676.3891762142	NA	3.05296912379135	NA	1.30944513610615
OG0002950	BMS	2.11181952154891	33	NA	NA	0.00508997627040833	0.0575133369920915	0.0566830654762164	NA	NA	NA	2.46921359852675e-07	7.48423974253342e-09	7.15491776184766e-10	6.21152237698245e-08	1.88272584693299e-09	1.79988202761005e-10	NA	3.09612961956312	NA	0.778858435958277
