OG	Model	mean_expr	species_nr	sigma2	alpha	ovuliparity.sigma2	oviparity.sigma2	hemotrophic_viviparous.sigma2	ovuliparity.alpha	oviparity.alpha	hemotrophic_viviparous.alpha	ovuliparity.theta	oviparity.theta	hemotrophic_viviparous.theta	ovuliparity.theta.se	oviparity.theta.se	hemotrophic_viviparous.theta.se	theta	theta.anc	theta.se	theta.anc.se
OG0004196	OUMV	-0.347286993205406	27	NA	0.118440548650022	0.118440548650022	0.300779501197271	0.00448671063576182	NA	NA	NA	1.32449825900811	-0.838100729684712	-3.11943511479826	0.389607496187616	0.497035586328884	0.133676273108186	NA	NA	NA	NA
OG0004199	BMS	0.0415397279333654	23	NA	NA	0.00493576348204867	0.154372881382429	1.2367495061477	NA	NA	NA	2.9468985860868e-08	5.79810898040774e-10	3.2707508198241e-11	7.7578110489562e-08	1.52637196690876e-09	8.61036310112996e-11	NA	0.365066784110892	NA	0.961050761893768
OG0004203	BMS	0.251418804325136	26	NA	NA	0.00286155050322295	0.0134449908395318	0.0640654801112755	NA	NA	NA	1031771.93207468	-1031829.81847573	57.88638499121	13168700.2955268	13169439.1106108	738.814878992037	NA	-0.4925596537968	NA	1.08368940703603
OG0004207	OUMA	-0.546656556797864	24	0.0873057544901131	NA	NA	NA	NA	0.0305990862888508	0.0219474810784972	2.44001049145727e-09	-1.30335321194775	0.725104189540532	6.67762417513307e-18	0.0656945544684768	0.262729150875686	NA	NA	NA	NA	NA
OG0004209	BMS	-2.19391543481902	22	NA	NA	0.0131516770820456	0.103329778137925	NA	NA	NA	NA	-6610400.30720231	6610400.30926435	NA	33912863.485067	33912863.4956461	NA	NA	-0.245536244809609	NA	2.81382881890956
OG0004210	OU1	0.859054374389631	28	0.148925124374353	0.0103918854173301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.342922890969265	NA	0.581080334822437	NA
OG0004211	BMS	0.836765643633809	18	NA	NA	0.00304286850908029	0.000312103730991646	0.0959683699932685	NA	NA	NA	-15954013.4643318	15973682.0438726	-19668.5747278884	5739801.93486721	5746878.13241188	7076.19581314799	NA	0.70169411228319	NA	0.512068799063814
OG0004212	OUMV	1.76896148742654	20	NA	0.993021129719119	0.993021129719119	0.752762101574072	1e-09	NA	NA	NA	1.71509725622549	1.2768129639778	7.62121952652832	0.457916376117428	0.340477801678026	4.11009453789258e-05	NA	NA	NA	NA
OG0004215	BM1	0.182591767083428	22	0.00981868051999142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.46421943486078e-08	-0.177696525882158	8.76733938486654e-08	1.06399745340679
OG0004218	OUM	-0.527196231150256	20	0.0420043159783884	0.0144481781094317	NA	NA	NA	NA	NA	NA	-0.0689170759579441	0.148925401422808	-4.11502839430202	0.520150903380038	0.444451816599481	1.05923813418057	NA	NA	NA	NA
OG0004221	BMS	0.194934511004082	20	NA	NA	0.000216984534142494	0.0297744112532571	0.0923904830850761	NA	NA	NA	1.11554713255693e-07	7.8904627557252e-10	6.392928003631e-11	1.94251084780872e-08	1.37397238089755e-10	1.1132054965575e-11	NA	1.41117177050295	NA	0.24572843157602
OG0004223	OUM	0.231946311699747	23	4.75902806581554	0.444371355139766	NA	NA	NA	NA	NA	NA	-2.79695194580488	2.68372219843916	-1.49695189941001	0.818137013994197	0.668114004928284	1.33601237206655	NA	NA	NA	NA
OG0004228	OU1	-1.34302728088803	28	0.0422353435940165	0.0131583137017258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.38061234919107	NA	0.279725692203856	NA
OG0004230	OU1	0.931037779680955	25	0.0760989761266299	0.00527887929917792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.743698484187107	NA	0.689012060563115	NA
OG0004236	OUMVA	0.446734223702901	16	NA	NA	0.00297137759011366	0.0744295438099716	0.483701994748994	0.180274579444485	1.07722985467081e-09	0.00135711478917114	107356.078848371	0	0	0.0257833780926662	0	0	NA	NA	NA	NA
OG0004237	BMS	-3.58172324940636	19	NA	NA	0.00870558911787433	0.0340648269520847	1.83881182243407	NA	NA	NA	-37813824.918499	37798545.8379957	15279.0818025947	21833975.9835949	21825153.7320118	8822.25233359094	NA	-1.88786948561584	NA	1.84390152353067
OG0004239	OUM	0.904315025829143	22	2.03746030933304	0.445007414296074	NA	NA	NA	NA	NA	NA	-1.26790799977443	1.95714231587322	1.00431193501983	0.617689615288054	0.436840821431535	0.756512160440041	NA	NA	NA	NA
OG0004245	OUMA	-1.15916360088207	23	0.0311294968069571	NA	NA	NA	NA	0.0136079164431339	0.00303795532998951	0.0145357821724001	-1.18041327874933	-2.33222758604126	0.0479632366737765	0.277391737231279	0.664269140733418	1.17787775202756	NA	NA	NA	NA
OG0004268	BMS	-1.26690166651982	26	NA	NA	0.00475133707731153	0.0140028591058706	0.134099734605337	NA	NA	NA	-365098.40888641	363653.388544641	1445.02047507299	15960827.314333	15897656.0717929	63171.2483729447	NA	-1.6374450996439	NA	1.3418016119179
OG0004270	BMS	-0.859060301964733	24	NA	NA	0.00178334832361042	0.0132558641207044	0.0712994661727913	NA	NA	NA	-6516997.63839199	6482008.77462327	34988.8635975515	12646881.6962803	12578982.328301	67899.3676472506	NA	0.105248101748424	NA	1.04491347505469
OG0004272	BMS	0.26909213145036	22	NA	NA	0.00167737878071279	0.0193552743378207	0.134932493073616	NA	NA	NA	1.00249854773311e-07	2.0177836303846e-09	8.60876631067882e-11	3.92290757223221e-08	7.89585052333592e-10	3.36872254070636e-11	NA	1.24215681752531	NA	0.486072164033414
OG0004273	BM1	0.53062902728415	18	0.00357173146884823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.5984915978072e-08	0.31535090887049	5.68009954770421e-08	0.689332440541642
